ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
181;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
182;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
183;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
184;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
185;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
186;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
187;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
188;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
189;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
190;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
191;0.4;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
192;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
193;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
194;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
195;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
196;0.3;0.8;0.6;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6, 0.6, 0.6]
197;0.4;0.8;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
198;0.5;0.8;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
199;0.3;0.7000000000000001;0.6;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6, 0.6, 0.6]
200;0.4;0.7000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
201;0.5;0.7000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
202;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
203;0.4;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
204;0.5;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
205;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
206;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
207;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
208;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
209;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
210;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
211;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
212;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
213;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
214;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
215;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
216;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
217;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
218;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
219;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
220;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
221;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
222;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
223;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
224;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
225;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
226;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
227;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
228;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
229;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
230;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
231;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
232;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
233;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
234;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
235;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
236;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
237;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
238;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
239;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
240;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
241;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
242;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
243;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
244;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
245;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
246;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
247;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
248;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
249;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
250;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
251;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
252;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
253;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
254;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
255;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
256;0.3;0.8;0.6;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6, 0.6, 0.6]
257;0.4;0.8;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
258;0.5;0.8;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
259;0.3;0.7000000000000001;0.6;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6, 0.6, 0.6]
260;0.4;0.7000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
261;0.5;0.7000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
262;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
263;0.4;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
264;0.5;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
265;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
266;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
267;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
268;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
269;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
270;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
271;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
272;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
273;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
274;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
275;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
276;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
277;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
278;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
279;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
280;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
281;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
282;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
283;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
284;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
285;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
286;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
287;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
288;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
289;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
290;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
291;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
292;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
293;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
294;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
295;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
296;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
297;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
298;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
299;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
300;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
301;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
302;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
303;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
304;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
305;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
306;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
307;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
308;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
309;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
310;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
311;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
312;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
313;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
314;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
315;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
316;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
317;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
318;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
319;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
320;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
321;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
322;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
323;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
324;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
325;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
326;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
327;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
328;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
329;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
330;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
331;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
332;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
333;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
334;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
335;0.4;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
336;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
337;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
338;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
339;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
340;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
341;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
342;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
343;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
344;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
345;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
346;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
347;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
348;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
349;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
350;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
351;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
352;0.3;0.8;0.6;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6, 0.6, 0.6]
353;0.4;0.8;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
354;0.5;0.8;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
355;0.3;0.7000000000000001;0.6;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6, 0.6, 0.6]
356;0.4;0.7000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
357;0.5;0.7000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
358;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
359;0.4;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
360;0.5;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
361;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
362;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
363;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
364;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
365;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
366;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
367;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
368;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
369;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
370;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
371;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
372;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
373;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
374;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
375;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
376;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
377;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
378;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
379;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
380;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
381;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
382;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
383;0.4;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
384;0.5;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
385;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
386;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
387;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
388;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
389;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
390;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
391;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
392;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
393;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
394;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
395;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
396;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
1;0.9;0.3;0.75;[1.0, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
2;0.9;0.4;0.75;[0.7, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
3;0.9;0.5;0.75;[0.6, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
4;0.8;0.3;0.75;[0.5, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
5;0.8;0.4;0.75;[0.7, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
