_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,if_you_had_difficulties_answering_these_questions_please_explain_here_why,speaker_a__is_selfcentered,speaker_a_gives_up_his_position_in_the_negotiation,speaker_a_is_demanding,speaker_a_likes_affordable_restaurants,speaker_a_makes_concessions_in_the_negotiation,speaker_a_presses_his_position_in_the_negotiation,speaker_a_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant,speaker_a_takes_the_initiative_in_the_negotiation,speaker_a_takes_the_lead_in_the_negotiation,speaker_b_gives_up_his_position_in_the_negotiation,speaker_b_is_demanding,speaker_b_is_selfcentered,speaker_b_likes_chinese_restaurants,speaker_b_makes_concessions_in_the_negotiation,speaker_b_presses_his_position_in_the_negotiation,speaker_b_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant,speaker_b_takes_the_initiative_in_the_negotiation,speaker_b_takes_the_lead_in_the_negotiation,content,if_you_had_difficulties_answering_these_questions_please_explain_here_why_gold,speaker_a__is_selfcentered_gold,speaker_a_gives_up_his_position_in_the_negotiation_gold,speaker_a_is_demanding_gold,speaker_a_likes_affordable_restaurants_gold,speaker_a_makes_concessions_in_the_negotiation_gold,speaker_a_presses_his_position_in_the_negotiation_gold,speaker_a_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant_gold,speaker_a_takes_the_initiative_in_the_negotiation_gold,speaker_a_takes_the_lead_in_the_negotiation_gold,speaker_b_gives_up_his_position_in_the_negotiation_gold,speaker_b_is_demanding_gold,speaker_b_is_selfcentered_gold,speaker_b_likes_chinese_restaurants_gold,speaker_b_makes_concessions_in_the_negotiation_gold,speaker_b_presses_his_position_in_the_negotiation_gold,speaker_b_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant_gold,speaker_b_takes_the_initiative_in_the_negotiation_gold,speaker_b_takes_the_lead_in_the_negotiation_gold
1168713988,3/1/2017 14:59:21,2407680713,3/1/2017 14:56:17,false,instagc,1.0,32547262,USA,PA,Reading,73.187.87.191,,4,1,4,2,2,4,2,4,4,4,2,3,2,4,4,4,4,4,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""I don't like affordable restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""What kind of atmosphere do you like?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go",,,,,,,,,,,,,,,,,,,
1168713988,3/1/2017 15:00:41,2407681611,3/1/2017 14:57:56,false,elite,0.7778,42251423,USA,MS,Flowood,192.240.212.4,,4,4,4,2,2,4,2,3,3,4,3,2,2,4,3,4,2,2,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""I don't like affordable restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""What kind of atmosphere do you like?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go",,,,,,,,,,,,,,,,,,,
1168713988,3/1/2017 15:03:07,2407683254,3/1/2017 15:01:21,false,elite,0.3889,39315184,USA,NJ,Edison,196.53.44.53,,4,1,5,1,4,5,1,5,5,5,1,1,1,1,1,3,3,1,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""I don't like affordable restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""What kind of atmosphere do you like?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go",,,,,,,,,,,,,,,,,,,
1168713988,3/1/2017 15:03:08,2407683281,3/1/2017 14:59:43,false,bitcoinget,0.3519,41184481,USA,NY,Buffalo,23.229.16.228,,4,2,4,2,4,3,3,4,2,4,3,3,2,3,4,3,3,2,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""I don't like affordable restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""What kind of atmosphere do you like?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go",,,,,,,,,,,,,,,,,,,
1168713988,3/1/2017 15:07:35,2407686293,3/1/2017 15:02:18,false,neodev,0.3426,36660151,USA,UT,Spanish Fork,160.7.237.234,,5,5,1,5,5,4,5,5,5,1,1,1,5,5,5,3,3,5,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""I don't like affordable restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""What kind of atmosphere do you like?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go",,,,,,,,,,,,,,,,,,,
1168713988,3/1/2017 15:07:37,2407686327,3/1/2017 15:04:06,false,clixsense,0.3241,6576528,CAN,SK,Regina,24.72.133.122,None,5,5,5,1,5,4,5,5,3,5,5,5,1,5,5,5,5,5,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""I don't like affordable restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""What kind of atmosphere do you like?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go",,,,,,,,,,,,,,,,,,,
1168713988,3/1/2017 15:07:48,2407686468,3/1/2017 15:05:27,false,neodev,0.381,39188908,USA,CA,Glendale,71.93.119.153,,5,1,5,1,2,5,2,5,5,5,3,2,1,5,2,4,2,3,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""I don't like affordable restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""What kind of atmosphere do you like?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go",,,,,,,,,,,,,,,,,,,
1168713988,3/1/2017 15:10:15,2407688032,3/1/2017 15:08:38,false,clixsense,0.3681,29095456,IRL,07,Dublin,89.101.10.65,,4,2,4,1,2,5,1,2,3,4,3,4,1,3,2,4,4,4,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""I don't like affordable restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""What kind of atmosphere do you like?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go",,,,,,,,,,,,,,,,,,,
1168713988,3/1/2017 15:13:31,2407690232,3/1/2017 15:08:58,false,clixsense,0.3765,24785317,JAM,08,Kingston,72.252.29.32,,2,2,4,1,4,4,4,4,3,2,3,2,1,4,2,4,2,2,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""I don't like affordable restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""What kind of atmosphere do you like?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go",,,,,,,,,,,,,,,,,,,
1168713988,3/1/2017 15:13:49,2407690434,3/1/2017 15:12:20,false,elite,0.3833,41502611,USA,NY,New York,162.243.69.243,,5,1,5,1,5,5,1,5,5,5,2,2,1,5,2,5,2,1,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""I don't like affordable restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""What kind of atmosphere do you like?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go",,,,,,,,,,,,,,,,,,,
1168713988,3/1/2017 15:15:09,2407691376,3/1/2017 15:14:11,false,instagc,0.2525,19821911,USA,PA,Philadelphia,206.225.103.131,,3,3,4,4,1,3,2,2,2,3,3,3,4,5,3,4,3,3,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""I don't like affordable restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""What kind of atmosphere do you like?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go",,,,,,,,,,,,,,,,,,,
1168713988,3/1/2017 15:16:29,2407692377,3/1/2017 15:13:58,false,prodege,0.3241,8308030,USA,GA,Lawrenceville,64.134.180.88,,3,2,4,2,4,3,4,4,4,2,2,2,2,3,2,4,2,2,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""I don't like affordable restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""What kind of atmosphere do you like?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go",,,,,,,,,,,,,,,,,,,
1168713988,3/1/2017 15:16:53,2407692605,3/1/2017 15:15:30,false,bitcoinget,0.3632,40404524,USA,TX,Dallas,142.0.194.182,,4,2,4,2,4,2,2,4,4,4,2,2,2,2,4,4,3,2,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""I don't like affordable restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""What kind of atmosphere do you like?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go",,,,,,,,,,,,,,,,,,,
1168713988,3/1/2017 15:21:04,2407695888,3/1/2017 15:18:55,false,getpaid,0.4048,39339973,CAN,SK,Regina,24.89.119.182,,2,2,4,1,4,4,2,4,4,4,2,2,1,4,3,4,4,2,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""I don't like affordable restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""What kind of atmosphere do you like?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go",,,,,,,,,,,,,,,,,,,
