_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,if_you_had_difficulties_answering_these_questions_please_explain_here_why,speaker_a__is_selfcentered,speaker_a_gives_up_his_position_in_the_negotiation,speaker_a_is_demanding,speaker_a_likes_french_restaurants,speaker_a_makes_concessions_in_the_negotiation,speaker_a_presses_his_position_in_the_negotiation,speaker_a_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant,speaker_a_takes_the_initiative_in_the_negotiation,speaker_a_takes_the_lead_in_the_negotiation,speaker_b_gives_up_his_position_in_the_negotiation,speaker_b_is_demanding,speaker_b_is_selfcentered,speaker_b_likes_chinese_restaurants,speaker_b_makes_concessions_in_the_negotiation,speaker_b_presses_his_position_in_the_negotiation,speaker_b_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant,speaker_b_takes_the_initiative_in_the_negotiation,speaker_b_takes_the_lead_in_the_negotiation,content,if_you_had_difficulties_answering_these_questions_please_explain_here_why_gold,speaker_a__is_selfcentered_gold,speaker_a_gives_up_his_position_in_the_negotiation_gold,speaker_a_is_demanding_gold,speaker_a_likes_french_restaurants_gold,speaker_a_makes_concessions_in_the_negotiation_gold,speaker_a_presses_his_position_in_the_negotiation_gold,speaker_a_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant_gold,speaker_a_takes_the_initiative_in_the_negotiation_gold,speaker_a_takes_the_lead_in_the_negotiation_gold,speaker_b_gives_up_his_position_in_the_negotiation_gold,speaker_b_is_demanding_gold,speaker_b_is_selfcentered_gold,speaker_b_likes_chinese_restaurants_gold,speaker_b_makes_concessions_in_the_negotiation_gold,speaker_b_presses_his_position_in_the_negotiation_gold,speaker_b_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant_gold,speaker_b_takes_the_initiative_in_the_negotiation_gold,speaker_b_takes_the_lead_in_the_negotiation_gold
1168714919,3/2/2017 09:21:01,2408555887,3/2/2017 09:18:43,false,tremorgames,1.0,37766446,USA,FL,Fort Lauderdale,73.139.58.24,,3,2,4,4,2,4,3,5,5,5,1,1,3,1,2,5,2,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:21:04,2408555919,3/2/2017 09:19:36,false,elite,0.3889,30000442,GBR,K4,Plymouth,77.101.44.101,,1,1,5,3,5,5,1,5,5,1,1,4,3,1,1,5,1,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:21:43,2408556266,3/2/2017 09:19:57,false,bitcoinget,0.5926,41098096,USA,VA,Manassas,199.115.117.81,,4,1,4,3,2,5,4,5,5,3,1,2,2,4,2,5,5,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:21:59,2408556376,3/2/2017 09:20:47,false,clixsense,0.5556,11767390,USA,WA,Puyallup,73.221.247.11,,5,5,5,5,1,5,1,5,5,5,1,1,1,5,1,5,1,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:23:16,2408557001,3/2/2017 09:19:08,false,bitcoinget,0.3111,40493244,USA,UT,Providence,107.182.233.227,,2,3,4,4,4,4,4,4,4,3,3,3,3,4,3,4,4,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:29:55,2408560124,3/2/2017 09:26:51,false,bitcoinget,0.3889,40462112,USA,TX,Dallas,142.0.194.180,,2,5,3,4,4,4,4,5,4,4,2,1,2,2,2,5,4,3,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:32:04,2408561304,3/2/2017 09:28:57,false,neodev,0.4286,41280604,USA,WA,Issaquah,24.16.4.101,,2,2,3,4,2,4,3,4,4,4,1,2,3,3,2,5,2,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:33:55,2408562201,3/2/2017 09:32:50,false,clixsense,0.4167,29095456,IRL,07,Dublin,89.101.10.65,,4,1,4,4,2,5,2,5,5,4,2,3,3,3,1,4,1,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:34:21,2408562434,3/2/2017 09:32:54,false,neodev,0.4333,13197642,GBR,I2,Manchester,212.250.238.196,,4,1,4,5,4,4,2,5,5,5,2,2,3,2,2,3,1,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:34:24,2408562450,3/2/2017 09:32:52,false,neodev,0.4611,41903929,USA,"","",149.86.208.122,,4,1,5,5,3,5,1,5,5,5,1,1,3,3,3,5,1,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:37:21,2408563866,3/2/2017 09:33:21,false,clixsense,0.4141,28335646,GBR,"","",90.252.181.232,,3,2,2,4,2,4,1,5,5,3,1,1,4,4,1,5,2,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:38:22,2408564384,3/2/2017 09:19:40,false,tremorgames,0.3843,39226056,USA,"","",107.77.215.131,,4,2,4,5,2,4,2,4,4,4,1,1,3,5,1,3,2,3,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:41:46,2408566132,3/2/2017 09:40:15,false,instagc,0.4325,27770607,USA,TX,El Paso,173.175.172.255,,2,2,4,4,2,4,2,4,4,3,1,1,2,4,2,5,2,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:41:49,2408566156,3/2/2017 09:35:14,false,clixsense,0.3849,6488338,USA,HI,Kapolei,76.172.50.185,,3,1,1,4,1,1,1,4,5,3,1,1,1,1,1,5,1,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:44:52,2408567557,3/2/2017 09:42:25,false,clixsense,0.4519,17663645,GBR,Q4,Worcester,86.165.52.139,,4,1,4,3,2,4,2,5,5,3,2,2,3,2,2,5,2,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:49:45,2408569799,3/2/2017 09:48:30,false,prodege,0.4132,2034278,USA,NJ,Toms River,73.150.200.26,,4,2,4,4,2,4,2,4,4,2,2,2,3,4,2,4,2,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:55:06,2408572528,3/2/2017 09:54:10,false,clixsense,0.2745,13121046,CAN,QC,Trois-rivières,24.122.109.208,,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,5,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:58:44,2408574282,3/2/2017 09:55:08,false,instagc,0.392,19425875,USA,OH,Mansfield,76.5.100.170,,2,2,4,5,2,4,2,4,4,5,2,2,3,4,4,2,2,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:59:54,2408574739,3/2/2017 09:58:35,false,clixsense,0.3655,24835873,GBR,"","",79.76.111.101,,3,2,2,5,2,3,3,5,5,3,1,3,3,3,2,3,2,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 10:00:06,2408574919,3/2/2017 09:55:03,false,neodev,0.3944,39210946,USA,CA,Los Angeles,38.95.109.109,,4,2,4,5,2,3,1,5,5,4,1,2,1,2,2,4,1,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 10:00:38,2408575219,3/2/2017 10:00:06,false,neodev,0.1825,41489275,AUS,04,Wooloowin,27.33.243.149,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 10:01:01,2408575509,3/2/2017 09:57:03,false,bitcoinget,0.2803,40404524,USA,UT,Providence,107.182.233.227,,3,3,4,4,4,3,3,4,4,3,2,3,2,3,4,4,4,3,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 10:02:12,2408576001,3/2/2017 10:00:15,false,clixsense,0.3527,24785317,JAM,08,Kingston,72.252.29.32,,2,2,2,4,2,4,2,4,4,2,2,2,2,2,2,2,2,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 10:03:56,2408576769,3/2/2017 09:52:22,false,neodev,0.1898,36660151,USA,UT,Spanish Fork,160.7.237.234,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 10:05:37,2408577583,3/2/2017 09:57:33,false,prodege,0.4311,1883056,CAN,NB,Bathurst,47.54.165.75,,3,2,4,4,2,4,2,5,4,4,2,2,3,4,2,4,2,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 10:17:00,2408583623,3/2/2017 10:16:15,false,neodev,0.3889,11014811,GBR,G6,Hull,5.198.34.32,,4,2,4,5,1,5,1,5,5,4,2,2,3,4,3,5,2,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 10:19:42,2408585148,3/2/2017 10:14:20,false,neodev,0.3642,23017572,USA,CA,San Jose,50.118.145.167,,4,2,3,4,3,4,2,5,5,2,1,3,3,2,1,4,1,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 10:24:44,2408588113,3/2/2017 10:20:51,false,bitcoinget,0.4484,42174603,USA,CA,Costa Mesa,173.245.203.147,,3,2,4,5,2,4,2,5,5,4,2,2,3,4,2,5,2,3,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 10:31:43,2408591955,3/2/2017 10:30:06,false,clixsense,0.2663,14567128,AUS,07,Melbourne,101.181.127.235,,3,3,3,5,3,3,3,5,5,3,3,3,5,3,3,3,1,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 10:33:03,2408592793,3/2/2017 10:30:35,false,elite,0.3185,40185915,USA,CA,Los Angeles,67.205.142.68,,2,3,3,3,2,5,5,5,4,3,2,2,1,2,2,5,4,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
